"قوم مأجوج","Noun"
"احترام [کسي] را داشتن","Verb"
"زراعت غلات","Noun"
"ناخون کشيدن","NaN"
"اجبار کردن","Verb"
"اثر دادن","Verb"
"لبخند ژکوند","Noun"
"احساس کردن","Verb"
"ادامه يافتن","Verb"
"فضل‌الله آل کيا کجوري طبرسي مازندراني","Noun"
"هجدهم مي","Noun"
"شيشۀ رفلکس","Noun"
"گفت و گوي کردن","Verb"
"باشگاه افسران","Noun"
"به بحث گذاشتن","Verb"
"پي‌سر زدن","Verb"
"دق دادن","Verb"
"گاز اعصاب","Noun"
"محاجه کردن","Verb"
"تلطف کردن","Verb"
"خورش قيمه‌کدو","Noun"
"پا جا پاي [کسي] گذاشتن","Verb"
"غفلت نمودن","Verb"
"پزشکي پيشگيري","Noun"
"مسئلت نمودن","Verb"
"شهرستان منوجان","Noun"
"سم زدن","Verb"
"روز بزرگداشت حکيم عمر خيام","Noun"
"وي پلاس","NaN"
"سپيده قطبي","Noun"
"جمهوري دموکراتيک سوسياليست سري‌لانکا","Noun"
"حضرت يعقوب","Noun"
"شهر خشکبيجار","Noun"
"تصليب عيسي","Noun"
"دفتر تجاري","Noun"
"شهرستان چادگان","Noun"
"سوءقصد کردن","Verb"
"پوستهٔ قاره‌اي","Noun"
"شکلک درآوردن","Verb"
"چمباتمه نشستن","Verb"
"آب تو دهن [کسي] خشک شدن","NaN"
"جرح‌وتعديل کردن","Verb"
"حکم دادن","Verb"
"فصل‌فصل کردن","Verb"
"روزنامه نيم‌قطع","Noun"
"آفتاب زدن","Verb"
"متجاهر به فسق","Adjective"
"زبون نروژي","NaN"
"متزلزل کردن","Verb"
"حساب کردن","Verb"
"گردشگري فولکلور","Noun"
"متخصص زنان","Noun"
"گرانش ويژه","Noun"
"نقد ادبي","Noun"
"توقع کردن","Verb"
"کارت ملي","Noun"
"لباس زنونه","NaN"
"اهميت داشتن","Verb"
"آزمايش نمودن","Verb"
"بيست‌ونه اسفند","Noun"
"قلم کشيدن","Verb"
"اسدي طوسي","Noun"
"روزي شدن","Verb"
"سال هجري قمري","Noun"
"شرکت خدمات مالي اچ اس بي سي","Noun"
"گرگ بيابان","Noun"
"خردوخمير شدن","Verb"
"جاده غير ماشين رو","Noun"
"متاستاز دادن","Verb"
"ميني موس","Noun"
"رودخونه کرگانرود","NaN"
"از راه به‌در شدن","Verb"
"زبون اسپانيولي","NaN"
"ابوا نواختن","Verb"
"3 خرداد","Noun"
"ممانعت کردن","Verb"
"استند رول دستمال","Noun"
"بارداري خارج رحمي","Noun"
"داستان‌پردازي کردن","Verb"
"گاز مرداب","Noun"
"متلک به ناف [کسي] بستن","Verb"
"شوراي عالي محيط زيست","Noun"
"خون راه‌انداختن","Verb"
"اتمام حجت","Noun"
"پا بر بخت خود زدن","Verb"
"مرکز زلزله","Noun"
"ياخته خوني","Noun"
"حاصل آوردن","Verb"
"خودداري داشتن","Verb"
"رودخونه تاقوس","NaN"
"جام گيتي‌نما","Noun"
"به لکنت افتادن","Verb"
"قرمز ماتيکي","Noun"
"در هوس افتادن","Verb"
"رودخانه دنيپر","Noun"
"برپا کردن","Verb"
"به ميان آمدن","Verb"
"دل در هوا [کسي/چيزي] داشتن","Verb"
"شرح صدر","Noun"
"جاري کردن","Verb"
"پزشک عمومي","Noun"
"عقل‌گرا بودن","Verb"
"هوار زدن","Verb"
"دندان روي جگر گذاشتن","Verb"
"محبوبۀ شب","Noun"
"مچ انداختن","Verb"
"حموم عمومي","NaN"
"پلنگ صورتي","Noun"
"کناره جستن","Verb"
"خستگي عصبي","Noun"
"جست زدن","Verb"
"درخت عرعر","Noun"
"زفتي کردن","Verb"
"بخت‌گشايي کردن","Verb"
"انصارالله يمن","Noun"
"عهد سوت","Noun"
"مرغ زنبورخوار","Noun"
"رخنه کردن","Verb"
"هق‌هق کردن","Verb"
"بيستم فروردين","Noun"
"جوشي بودن","Verb"
"کشور زامبيا","Noun"
"9 آذر","Noun"
"دکتر عبدالحسين زرين‌کوب","Noun"
"نوار مغز","Noun"
"ازقلم افتادن","Verb"
"رود جاجرود","Noun"
"راهب خانه","NaN"
"بار زندگي","Noun"
"ايرج ميرزا","Noun"
"قطع به يقين","Adverb"
