"word","[]"
"آب آوردن","[]"
"آب انداختن","[]"
"آب بستن","[]"
"آب بندن","[]"
"آب خوردن","[هزينه‌برداشتن]"
"آب دادن","[]"
"آب داشتن","[صرفيدن]"
"آب دن","[]"
"آب دهان انداختن","[]"
"آب دیدن","[]"
"آب رفتن","[]"
"آب رودن","[]"
"آب ریختن","[]"
"آب زدن","[شوياندن, شستن]"
"آب شدن","[وارفتن, گداختن]"
"آب شستن","[]"
"آب پاشیدن","[]"
"آب پز کنیدن","[]"
"آب کردن","[گداختن, گدازيدن]"
"آب کشیدن","[]"
"آب گرفتن","[]"
"آباد ساختن","[]"
"آباد شدن","[]"
"آباد کردن","[]"
"آبادان شدن","[]"
"آبادان کردن","[]"
"آبرو داشتن","[]"
"آبرومند بودن","[]"
"آبیاری کردن","[]"
"آتش روشن کردن","[برافروختن, برفروختن]"
"آتش زدن","[افروزاندن, سوزاندن, افروزيدن, افروزانيدن, گيراندن, افروختن, درگيراندن]"
"آتش کردن","[]"
"آتش کشیدن","[سوزاندن]"
"آتش گرفتن","[برافروختن, سوختن]"
"آتش گشودن","[]"
"آذین بستن","[]"
"آراسته بودن","[]"
"آراسته شدن","[]"
"آرام داشتن","[]"
"آرام شدن","[فرونشستن]"
"آرام نمودن","[آرامانيدن, آراماندن]"
"آرام کردن","[آرامانيدن, آراماندن]"
"آرام گرفتن","[فرونشستن]"
"آرامش بخشدن","[]"
"آرامش بخشیدن","[آرامانيدن, آراماندن]"
"آرامش دادن","[آرامانيدن, آراماندن]"
"آرامش داشتن","[]"
"آرامش یافتن","[]"
"آرد کردن","[]"
"آرزو داشتن","[]"
"آرزو نکندن","[]"
"آرزو کردن","[خواستن]"
"آرزومند بودن","[]"
"آزاد ساختن","[]"
"آزاد شدن","[رستن, وارستن, رهيدن, رهاييدن]"
"آزاد کردن","[رهاندن, رهانيدن]"
"آزاد کندن","[]"
"آزاد گذاشتن","[]"
"آزاد گشتن","[رهيدن]"
"آزادی بخشن","[]"
"آزادی دادن","[]"
"آزار دادن","[]"
"آزار دیدن","[]"
"آزار رساندن","[]"
"آزرده خاطر کردن","[]"
"آزرده شدن","[رنجيدن, آزردن]"
"آزرده کردن","[رنجاندن, خستن, آزاردن, آزردن, آزاريدن]"
"آزمایش شدن","[]"
"آزمایش نمودن","[آزمودن]"
"آزمایش کردن","[سنجيدن, آزمودن]"
"آزمایش کن","[]"
"آزموده بودن","[]"
"آزموده شدن","[]"
"آزمون کندن","[]"
"آسان ساختن","[]"
"آسان نمودن","[]"
"آسان کردن","[]"
"آسان کندن","[]"
"آسان گردان","[]"
"آسایش دادن","[]"
"آسایش یافتن","[آساييدن, برآسودن, آسودن]"
"آستین بالا زدن","[]"
"آسفالت کردن","[]"
"آسوده خاطر بودن","[]"
"آسوده کردن","[]"
"آسوده گذاشتن","[]"
"آسوده گشتن","[]"
"آسیب ببیندن","[]"
"آسیب برساندن","[]"
"آسیب بیندن","[]"
"آسیب دیدن","[]"
"آسیب رساندن","[]"
"آسیب رسیدن","[]"
"آسیب زدن","[]"
"آسیب نبیندن","[]"
"آسیب ندیدن","[]"
"آسیب وارد می‌کندن","[]"
"آشتی دادن","[]"
"آشتی کردن","[درساختن]"
"آشتی کندن","[]"
"آشفته ساختن","[]"
"آشفته شدن","[پريشيدن, آشفتن]"
"آشفته کردن","[]"
"آشنا ساختن","[شناسانيدن, شناساندن, بازشناساندن]"
"آشنا شدن","[]"
"آشنا شستن","[]"
"آشنا کردن","[]"
"آشنا کندن","[]"
"آشنایی پیدا می‌کردندن","[]"
"آشنایی پیدا می‌کنندن","[]"
"آشنایی پیدا کردن","[]"
"آشنایی پیدا کنندن","[]"
"آشنایی یافتن","[]"
"آشپزی کردن","[]"
"آشکار باشدن","[]"
"آشکار بودن","[]"
"آشکار داشتن","[فرانمودن]"
"آشکار ساختن","[فرانمودن]"
"آشکار شدن","[آشکاريدن]"
"آشکار نبودن","[]"
"آشکار نمودن","[فرانمودن]"
"آشکار نکندن","[]"
"آشکار کردن","[فرانمودن]"
"آشکار کندن","[]"
"آشکار گشتن","[آشکاريدن]"
